layer,depth_top_m,log10_resistivity,resistivity
1,0.0,5.999999999999975,999999.9999999427
2,5.0,5.999999999999813,999999.9999995684
3,11.004162818811771,5.503972457769441,319133.5459519277
4,18.214157049772112,1.9804082987531413,95.58908374317556
5,26.872152906848005,3.9219785468946933,8355.617424666658
6,37.268956268944294,5.318397391534916,208160.05383442558
7,49.753776305183436,5.557921636901797,361344.65655759914
8,64.74595475741211,5.223988391449998,167489.81059474288
9,82.74905084458457,1.807807868398569,64.24034555645774
10,104.3677548746039,2.895965024765066,786.9824087309175
11,130.32819866019156,5.07303405007228,118313.43135918822
12,161.50234492764724,5.645050731354504,441622.0316498717
13,198.9372749130987,5.965701353296601,924062.5150864522
14,243.89035786179258,5.999999999999999,999999.9999999979
15,297.87148370809444,5.910845197140082,814413.9370700865
16,362.6937774528874,5.226052492291764,168287.74547575414
17,440.5344986394035,1.6420357612953342,43.856680938160245
18,534.0081714269184,5.272687027327754,187364.37871365206
19,646.2544015646331,5.934216265439824,859441.3906301453
20,781.0433298735643,5.885906462427519,768964.804179255
21,942.9022642215584,5.1630247184193205,145554.19222325154
22,1137.2677433225028,1.8871362065370516,77.1145283233785
23,1370.6681398981882,2.001510690169453,100.34845496409359
24,1650.9429365013184,4.505473910219909,32023.877088074292
25,1987.5060390642277,5.105231311277876,127418.15471238605
26,2391.6619723826584,5.137580605494563,137271.57147889244
27,2876.9855779491963,4.710354473330427,51328.0154898829
28,3459.777967476052,2.242886667912981,174.93901138533053
29,4159.614046732774,2.7676848827622305,585.7130261465566
30,5000.0,5.999999999999996,999999.9999999898
