exception_type,iteration,message,multiplier,reason,rms,roughness,step_scale
,2,Another step cut from the same linear candidate had a lower nonlinear RMS.,1581138.8300841898,step_cut_discarded,10.26637556512926,8.31852058934288e-05,1.0
,2,Another step cut from the same linear candidate had a lower nonlinear RMS.,1581138.8300841898,step_cut_discarded,9.888894307503072,0.011199076618835025,0.5
,2,Another step cut from the same linear candidate had a lower nonlinear RMS.,5000000.0,step_cut_discarded,10.35369968235435,9.577796089290917e-06,1.0
,2,Another step cut from the same linear candidate had a lower nonlinear RMS.,5000000.0,step_cut_discarded,9.911342425671437,0.010903943494788598,0.5
,2,A different valid candidate better satisfied the Occam selection policy.,5.0,not_selected,9.787602751582805,0.2846617535571947,0.0625
,2,A different valid candidate better satisfied the Occam selection policy.,15.811388300841896,not_selected,9.772639476255769,0.4975785858803381,0.125
,2,A different valid candidate better satisfied the Occam selection policy.,50.0,not_selected,9.680169300685455,0.5694498421370189,0.25
,2,A different valid candidate better satisfied the Occam selection policy.,158.11388300841895,not_selected,9.843095028642425,1.9259202120439443,1.0
,2,A different valid candidate better satisfied the Occam selection policy.,1581.1388300841897,not_selected,9.352644476113129,0.13445984742933234,1.0
,2,A different valid candidate better satisfied the Occam selection policy.,5000.0,not_selected,9.449222617782373,0.04555936462359377,1.0
,2,A different valid candidate better satisfied the Occam selection policy.,15811.388300841898,not_selected,9.567812529186053,0.014715069926059528,1.0
,2,A different valid candidate better satisfied the Occam selection policy.,50000.0,not_selected,9.678105150869223,0.0060802555744808645,1.0
,2,A different valid candidate better satisfied the Occam selection policy.,158113.88300841895,not_selected,9.839297809821849,0.0023828303746667914,1.0
,2,A different valid candidate better satisfied the Occam selection policy.,500000.0,not_selected,9.840596828199397,0.011993445472226917,0.5
,2,A different valid candidate better satisfied the Occam selection policy.,1581138.8300841898,not_selected,9.833074989265173,0.024528227314594784,0.25
,2,A different valid candidate better satisfied the Occam selection policy.,5000000.0,not_selected,9.838721478572289,0.02431607839778555,0.25
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,0.5,step_cut_discarded,55.923132906747306,184.10842161344476,1.0
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,0.5,step_cut_discarded,26.211923746591268,48.182664295704,0.5
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,0.5,step_cut_discarded,12.891988148700337,13.283548035968789,0.25
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,0.5,step_cut_discarded,9.669348323436054,4.099930505884985,0.125
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,1.5811388300841898,step_cut_discarded,52.02663674276061,114.42026299827447,1.0
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,1.5811388300841898,step_cut_discarded,23.50897637271941,30.74805997665913,0.5
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,1.5811388300841898,step_cut_discarded,11.876926297535695,8.918614623581437,0.25
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,1.5811388300841898,step_cut_discarded,9.519934082869586,3.0055559864750756,0.125
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,5.0,step_cut_discarded,47.10510069650814,66.9590270982047,1.0
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,5.0,step_cut_discarded,20.051045285816592,18.71517717750123,0.5
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,5.0,step_cut_discarded,10.783306674737329,5.8266070117217295,0.25
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,5.0,step_cut_discarded,9.379449869373897,2.190660627475035,0.125
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,15.811388300841896,step_cut_discarded,27.466818890058335,30.359264845085658,1.0
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,15.811388300841896,step_cut_discarded,12.830040483200127,9.100626758628355,0.5
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,15.811388300841896,step_cut_discarded,9.598154604874447,3.1906644792069483,0.25
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,50.0,step_cut_discarded,11.814336590553513,8.260572270828657,1.0
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,50.0,step_cut_discarded,9.432042072788162,2.968896791318663,0.5
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,1581.1388300841897,step_cut_discarded,9.361840489346035,0.10119184515831957,1.0
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,5000.0,step_cut_discarded,9.507804697106561,0.03028950273966736,1.0
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,5000.0,step_cut_discarded,9.368878992133723,0.1528099937660248,0.5
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,5000.0,step_cut_discarded,9.33362267510726,0.2709238233534529,0.25
,3,Another step cut from the same linear candidate had a lower nonlinear RMS.,5000.0,step_cut_discarded,9.32530260999906,0.3441941341657292,0.125
