iteration,rms,roughness,multiplier,step_scale,rank,condition_number,n_active_bounds,active_lower,active_upper,solver,solve_attempts,damping,initial_condition_number
0,22.647284595408752,0.0,5.0,0.0,0,,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",initial,0,0.0,
1,9.87013560407023,0.043038181336547215,5000.0,1.0,30,13.518588270836688,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,13.518588270836688
2,9.323708114758121,0.4269400423237136,500.0,1.0,30,11.377806825933039,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,11.377806825933039
3,9.1217350663047,1.68302400794915,158.11388300841898,1.0,30,13.402716812345222,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,13.402716812345222
4,9.06282239654606,3.4059313274073126,50.00000000000001,0.5,30,18.64407111526994,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,18.64407111526994
5,9.001495298950037,3.400923702482862,50.00000000000001,1.0,30,22.839942844272567,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,22.839942844272567
6,8.972289967700359,4.324845556146838,50.00000000000001,1.0,30,23.89072463696941,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,23.89072463696941
7,8.949669910632647,6.814457797381322,15.8113883008419,0.25,30,42.23530069334915,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,42.23530069334915
8,8.917861956041664,9.292573439019725,15.8113883008419,1.0,30,58.70078042810133,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,58.70078042810133
9,8.91231496538183,11.764088798223062,1.58113883008419,0.0625,30,194.58012973059434,8,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, False, False, False, True, False, False, False, False, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,194.58012973059434
10,8.896865342457934,18.4433311127406,5.000000000000001,1.0,30,135.73342059511845,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,135.73342059511845
11,8.89048352733912,21.492959129083,1.58113883008419,0.25,30,303.43223650531394,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,303.43223650531394
12,8.88382743769668,20.6463904028679,1.58113883008419,0.5,30,296.99669529019843,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,296.99669529019843
13,8.880590873753484,23.638503334957857,1.58113883008419,0.25,30,292.92529204600817,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,292.92529204600817
14,8.87934410444821,29.08137840379181,0.5000000000000001,0.125,30,514.821637104436,5,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,514.821637104436
