frequency_hz,quantity,observed,predicted,standard_error,weighted_residual
70000.0,log10_resistivity,2.2018244618545206,2.7603540324554223,0.02171472409516259,25.721237265240035
70000.0,phase_deg,51.118161215052275,55.0139970093931,2.0,1.947917897170413
58800.0,log10_resistivity,2.565790140204333,2.763445903694343,0.02171472409516259,9.102384291129077
58800.0,phase_deg,46.63682902745405,53.17741497719309,2.0,3.2702929748695198
49500.0,log10_resistivity,2.6251419164772654,2.770716504267895,0.02171472409516259,6.703957515309145
49500.0,phase_deg,51.96684487874954,51.96207066524244,2.0,-0.002387106753545254
41600.0,log10_resistivity,2.7578746760933273,2.7791845933954247,0.02171472409516259,0.981357958254908
41600.0,phase_deg,78.42412212639076,51.370508177657634,2.0,-13.526806974366561
35000.0,log10_resistivity,2.9254883554295197,2.7855656371132813,0.02171472409516259,-6.4436793073235075
35000.0,phase_deg,86.60608611831391,51.37246401879323,2.0,-17.61681104976034
29400.0,log10_resistivity,2.6311229216357144,2.7871645420780014,0.02171472409516259,7.185982182340899
29400.0,phase_deg,57.690323333756595,51.85360301023377,2.0,-2.918360161761413
24700.0,log10_resistivity,2.7435520000992706,2.7819312599998702,0.02171472409516259,1.767430234545298
24700.0,phase_deg,49.978507672546485,52.639937768470354,2.0,1.330715047961931
20800.0,log10_resistivity,2.6304856247719335,2.7692146137810467,0.02171472409516259,6.388706041170379
20800.0,phase_deg,51.88982231878751,53.512613194171124,2.0,0.8113954376918073
17500.0,log10_resistivity,2.790119925408438,2.7491460378364074,0.02171472409516259,-1.886917254507437
17500.0,phase_deg,70.34194830646338,54.282878090580226,2.0,-8.029535107941577
14700.0,log10_resistivity,2.9407621684426735,2.722805933234074,0.02171472409516259,-10.037255562328495
14700.0,phase_deg,89.73248238444022,54.76945235355411,2.0,-17.481515015443055
12300.0,log10_resistivity,2.656206993851163,2.6917796194624866,0.02171472409516259,1.6381799490258269
12300.0,phase_deg,87.64111670062415,54.82122586663313,2.0,-16.409945416995512
10400.0,log10_resistivity,2.716022555535023,2.661294420939925,0.02171472409516259,-2.5203237377208905
10400.0,phase_deg,80.98831959487356,54.38066488955731,2.0,-13.303827352658125
8800.0,log10_resistivity,2.635623599166227,2.6322813526312485,0.02171472409516259,-0.153916140971055
8800.0,phase_deg,74.02993985387177,53.45142218079066,2.0,-10.289258836540554
7200.0,log10_resistivity,2.617992435441418,2.6026510728910237,0.02171472409516259,-0.7064958542951062
7200.0,phase_deg,83.67243110452813,51.73932552784195,2.0,-15.96655278834309
6000.0,log10_resistivity,2.52356036218028,2.5836100535858018,0.02171472409516259,2.765390485384951
6000.0,phase_deg,87.12603468419336,49.741819462762734,2.0,-18.69210761071531
5200.0,log10_resistivity,2.470328879263834,2.57533049576617,0.02171472409516259,4.835503137971128
5200.0,phase_deg,88.8156206865856,47.99547119860795,2.0,-20.410074743988826
4400.0,log10_resistivity,2.2908842618103398,2.5738686485257625,0.02171472409516259,13.031912608019892
4400.0,phase_deg,76.8636592259271,45.9078878534105,2.0,-15.477885686258297
3600.0,log10_resistivity,2.698855428316516,2.5837553276599237,0.02171472409516259,-5.300555519479675
3600.0,phase_deg,39.30618114779492,43.56814465560369,2.0,2.130981753904379
3000.0,log10_resistivity,2.7516455940526465,2.602471466197227,0.02171472409516259,-6.869722461205535
3000.0,phase_deg,24.45348166796636,41.82975532394497,2.0,8.688136827989304
2600.0,log10_resistivity,2.8703825187075447,2.6221451209881232,0.02171472409516259,-11.431754630247479
2600.0,phase_deg,30.175793264095443,40.84382800314401,2.0,5.3340173695242825
2200.0,log10_resistivity,2.1097861312410036,2.6485641092696164,0.02171472409516259,24.811642812843147
2200.0,phase_deg,32.74572630261149,40.199211556249196,2.0,3.7267426268188544
1800.0,log10_resistivity,3.0955395738673657,2.6817053265792605,0.02171472409516259,-19.05777137552005
1800.0,phase_deg,68.12812348963602,40.20181666619254,2.0,-13.963153411721741
1500.0,log10_resistivity,2.893212913830916,2.709496135747431,0.02171472409516259,-8.460470290958543
1500.0,phase_deg,73.15737257927482,40.92108558488347,2.0,-16.118143497195675
1300.0,log10_resistivity,3.2153793172777547,2.727600606123481,0.02171472409516259,-22.463039779673583
1300.0,phase_deg,73.87886980513419,41.904994410101644,2.0,-15.986937697516272
1100.0,log10_resistivity,3.0598014243610625,2.7427676590063457,0.02171472409516259,-14.599944441630862
1100.0,phase_deg,63.81829053106073,43.414715011248866,2.0,-10.201787759905933
900.0,log10_resistivity,2.9426726533455065,2.7507105996114003,0.02171472409516259,-8.8401792669735
900.0,phase_deg,52.76854789131357,45.53709544163844,2.0,-3.615726224837559
776.47,log10_resistivity,2.804246230804697,2.748934272704977,0.02171472409516259,-2.547209803694536
776.47,phase_deg,44.202764919934786,47.152181052882206,2.0,1.4747080664737098
635.29,log10_resistivity,2.774309568104642,2.7368199462019898,0.02171472409516259,-1.7264608907006085
635.29,phase_deg,41.159567822557875,49.191559648699446,2.0,4.015995913070782
529.41,log10_resistivity,2.8344024375056662,2.7179213340908084,0.02171472409516259,-5.364153046770991
529.41,phase_deg,39.49764968425728,50.70556132178338,2.0,5.603955818763048
458.82,log10_resistivity,2.817435527891549,2.699526277208118,0.02171472409516259,-5.429921658995322
458.82,phase_deg,38.48568472601806,51.58513863765081,2.0,6.549726955816375
388.235,log10_resistivity,2.7751391874796125,2.6761522460230305,0.02171472409516259,-4.558517115980003
388.235,phase_deg,35.98216135679378,52.232035445718495,2.0,8.124937044462357
317.645,log10_resistivity,2.742210696242293,2.648384239871216,0.02171472409516259,-4.320867995369977
317.645,phase_deg,34.660451360219504,52.49230766971783,2.0,8.915928154749167
264.705,log10_resistivity,2.7107764005070605,2.626051576233664,0.02171472409516259,-3.9017223475692653
264.705,phase_deg,33.48334037517038,52.3372840603343,2.0,9.426971842581963
229.41,log10_resistivity,2.6803131391618145,2.6115510282936563,0.02171472409516259,-3.1666122289564984
229.41,phase_deg,32.74769764361387,52.05285263967793,2.0,9.65257749803203
194.118,log10_resistivity,2.6421588785472436,2.598345723218277,0.02171472409516259,-2.017670366750226
194.118,phase_deg,32.22436105824757,51.660830259606385,2.0,9.71823460067941
158.822,log10_resistivity,2.6103694449941175,2.587035103375226,0.02171472409516259,-1.0745861433298063
158.822,phase_deg,32.83006037513078,51.27183293830826,2.0,9.22088628158874
132.352,log10_resistivity,2.562905585025025,2.57924242515168,0.02171472409516259,0.7523392908452468
132.352,phase_deg,33.1216284010715,51.11516140778349,2.0,8.996766503356
114.705,log10_resistivity,2.5423328341738176,2.5732524598091366,0.02171472409516259,1.4239013813768429
114.705,phase_deg,33.39424479484797,51.14910132770064,2.0,8.877428266426335
97.0588,log10_resistivity,2.5119207276261255,2.5648737457112247,0.02171472409516259,2.4385766014358716
97.0588,phase_deg,34.84506093065949,51.33249563670313,2.0,8.243717353021822
79.4113,log10_resistivity,2.498117622149281,2.5513193999330115,0.02171472409516259,2.4500324089119867
79.4113,phase_deg,34.459260296956906,51.64458200924147,2.0,8.592660856142281
66.1763,log10_resistivity,2.4699968330425737,2.535305013074432,0.02171472409516259,3.0075528358385633
66.1763,phase_deg,35.995146853162055,51.8685058572717,2.0,7.936679502054822
57.3525,log10_resistivity,2.474500484813634,2.520760953379738,0.02171472409516259,2.130373306304609
57.3525,phase_deg,38.763783991545694,51.91808922766609,2.0,6.577152618060197
39.7056,log10_resistivity,2.4364044818034207,2.481277103405139,0.02171472409516259,2.066460591673585
39.7056,phase_deg,41.680031724326426,51.3067439602348,2.0,4.813356117954186
32.5,log10_resistivity,2.412962300282099,2.462178025775518,0.02171472409516259,2.266467917240668
32.5,phase_deg,41.21406461926985,50.56372263960939,2.0,4.674829010169773
27.5,log10_resistivity,2.3077719736173647,2.4486465871587844,0.02171472409516259,6.487515702435399
27.5,phase_deg,40.18871388624826,49.813893071187614,2.0,4.812589592469678
22.5,log10_resistivity,2.352532060048065,2.4349058539672623,0.02171472409516259,3.793453398634156
22.5,phase_deg,41.09026656251351,48.84733918753944,2.0,3.8785363125129635
