Stations,Easting_X_m,Northing_Y_m,Elev_H_m,x_m,Norm_h_m,offsets_m,DOI_max_m,dep_38,dep_76,dep_114,dep_152,dep_190,dep_228,dep_266,dep_304,dep_342,dep_380,dep_418,dep_456,dep_494,dep_532,dep_570,dep_608,dep_646,dep_684,dep_722,dep_760,dep_798,dep_836,dep_874,dep_912,res_38,res_76,res_114,res_152,res_190,res_228,res_266,res_304,res_342,res_380,res_418,res_456,res_494,res_532,res_570,res_608,res_646,res_684,res_722,res_760,res_798,res_836,res_874,res_912
S00,452771.43498,2888131.96497,589.45,0,12.200000000000045,11.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.2362375,2.39330475,2.55488525,2.7000892500000004,2.81434025,2.8944534999999996,2.94383625,2.9615055000000003,2.9029540000000003,2.87479675,2.84697325,2.82653575,2.815875,2.8133869999999996,2.7744850000000003,2.82962825,2.89015425,2.9618670000000002,3.0453504999999996,3.1417569999999997,3.28832625,3.4723785000000005,3.6423532499999998,3.78280575
S01,452812.38498,2888104.29997,583.3,49,6.0499999999999545,61.4,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.78415275,1.92577825,2.052368,2.1563185,2.23748725,2.30115325,2.3515022500000002,2.39391575,2.42411525,2.4277509999999998,2.40490875,2.3730325,2.35892875,2.3602935,2.3621131666666666,2.3639328333333336,2.3662074166666667,2.3689369166666667,2.3716664166666668,2.374850833333334,2.378490166666667,2.382584416666667,2.387133583333334,2.3916827500000006
S02,452853.33998,2888076.63997,577.25,98,0.0,101.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.1406585,2.39299875,2.66352925,2.916194,3.135634,3.3198555,3.46850125,3.5733505,3.6462132499999997,3.68246375,3.665534,3.6081322499999997,3.5150829999999997,3.459448,3.1617755,3.00331075,2.8852035,2.83964825,2.839947,3.0387085000000003,3.28832625,3.4723785000000005,3.6423532499999998,3.78280575
S03,452894.29498,2888048.97497,588.15,147,10.899999999999977,168.6,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.556421,2.5987715,2.5890595,2.54940175,2.4936077500000002,2.439484,2.3943417499999997,2.3743075,2.2370212499999997,2.26211325,2.31301025,2.3811459999999998,2.4647189999999997,2.5111055,2.714981,2.8746377499999998,2.99775225,3.09397375,3.171022,3.2387655000000004,3.332639,3.4537415,3.566466,3.65244725
S04,452935.24498,2888021.30997,596.6,196,19.350000000000023,204.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.1799515,2.0158472499999998,1.888234,1.8301832500000002,1.829906,1.8557930000000002,1.8885727499999998,1.9054950000000002,1.9361625,2.04110575,2.16539775,2.2972847499999998,2.4350215000000004,2.5062854999999997,2.82159225,2.9945269999999997,3.11569575,3.1982177500000004,3.2544910000000002,3.2778195,3.304480642857143,3.3344744285714283,3.3678008571428566,3.401127285714285
S05,452976.19998,2887993.64997,591.1,245,13.850000000000023,248.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.7004455,2.5070275,2.32873575,2.15734875,2.00691025,1.899991,1.8465555,1.833456,1.98789475,2.16558475,2.3559099999999997,2.53698875,2.70559175,2.86134,3.02551575,3.17493775,3.2690694999999996,3.321115,3.3464925,3.36090075,3.39305075,3.4531015,3.5194997500000005,3.5718927500000004
S06,453017.15498,2887965.98497,587.0,294,9.75,294.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.42912125,2.37281575,2.3228750000000002,2.2743375,2.24357425,2.2420657499999996,2.27112375,2.3272612500000003,2.4464195,2.6189575,2.78826225,2.94281875,3.07726675,3.1871229999999997,3.2945842499999998,3.3884355,3.43629125,3.4468819999999996,3.43639075,3.428446,3.44181875,3.4547105,3.4887132500000004,3.52028075
S07,453058.10498,2887938.31997,584.8,343,7.5499999999999545,357.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.3220022499999997,2.453748,2.6233795,2.80286225,2.97138075,3.1189917499999997,3.24369775,3.34488975,3.456604,3.57031,3.651568,3.7151620000000003,3.7493305,3.738217,3.71689325,3.7020115,3.6690562499999997,3.61399875,3.55098725,3.5200535000000004,3.448939,3.44267775,3.4620467500000003,3.4839305
S08,453099.05498,2887910.65497,584.65,392,7.399999999999977,398.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.2782299999999998,2.36864775,2.50062475,2.64956675,2.79626325,2.92922825,3.0457495,3.0999939999999997,3.14232375,3.278702,3.3950752499999997,3.496566,3.5730515,3.6019935,3.5291355,3.5817845000000004,3.59185775,3.56440375,3.5180985,3.493315,3.464991,3.4331265,3.3977215000000007,3.362316500000001
S09,453140.00998,2887882.98997,584.8,441,7.5499999999999545,460.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.377952,2.30808575,2.2190415,2.1282172499999996,2.05555675,2.020787,2.02879875,2.07569775,2.20754475,2.41553725,2.62720525,2.82293125,2.9944635,3.1369945,3.27785975,3.39965625,3.45999925,3.47076625,3.452395,3.4241900000000003,3.4055362499999995,3.4111972500000003,3.4338059999999997,3.4557364999999995
S10,453180.96498,2887855.32997,584.8,490,7.5499999999999545,501.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.52943225,2.2819682500000003,2.070747,1.877743,1.7114425000000002,1.5878679999999998,1.5209625,1.5031184999999998,1.60123525,1.8325422499999997,2.0881922499999996,2.3262852499999997,2.5389665,2.63935,2.8546295,3.0459685,3.1724995,3.2468785000000002,3.285616,3.30644825,3.33115325,3.3679907499999997,3.40596425,3.43454525
S11,453221.91498,2887827.66497,593.7,539,16.450000000000045,563.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.5868379999999997,2.258322,2.0051052499999997,1.79832925,1.65120825,1.5763862499999999,1.570196,1.5829455000000001,1.868311,2.0628415,2.2320535,2.3716115,2.49028275,2.546035,2.7383165,2.86279625,2.9733374999999995,3.06347425,3.1333729999999997,3.1901285,3.25552575,3.3277982500000003,3.38573725,3.424059
S12,453262.86498,2887799.99997,599.35,588,22.100000000000023,604.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.026688,2.093339,2.13202825,2.16314275,2.19984825,2.2482172499999997,2.304842,2.363714,2.4440382499999997,2.53119475,2.5904082500000003,2.62870375,2.65572475,2.6675940000000002,2.683419666666667,2.699245333333334,2.7190274166666675,2.742765916666668,2.766504416666668,2.7941993333333355,2.825850666666669,2.8614584166666694,2.901022583333337,2.940586750000004
S13,453303.81998,2887772.33997,601.7,637,24.450000000000045,666.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.15535475,2.3471867499999997,2.54759125,2.73669225,2.89955175,3.02985975,3.12828075,3.198557,3.2456395000000002,3.2603515,3.24110825,3.20356025,3.15554825,3.10269725,3.0277979999999998,2.943494,2.891958,2.8895352499999998,2.93643625,3.0640012499999996,3.2776347500000003,3.5151767499999997,3.7495875,3.99107175
S14,453344.77498,2887744.67497,601.8,686,24.549999999999955,707.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.6765832500000002,2.1166490000000002,2.421393,2.6498429999999997,2.8169355,2.9356987500000002,3.01720975,3.049797,3.05472325,3.04944625,3.00541025,2.9431495,2.8725812499999996,2.8355040000000002,2.7472365,2.76170525,2.8199662500000002,2.9010787500000004,2.9886507499999997,3.0324255,3.082453785714286,3.138735607142858,3.2012709642857153,3.2638063214285733
S15,453385.72498,2887717.00997,590.35,735,13.100000000000023,747.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.6061800000000002,1.82156625,2.0344755,2.22231425,2.378919,2.505874,2.6083137499999998,2.691286,2.76877775,2.8244644999999995,2.8370480000000002,2.8206767499999996,2.7851167500000003,2.7631315,2.6804235,2.7127225,2.77934675,2.8672995,2.96317875,3.0591162499999998,3.1796655,3.3084615,3.4020322500000004,3.45918925
S16,453426.67498,2887689.34497,580.35,784,3.1000000000000227,816.6,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.7901197500000001,1.98603375,2.10604575,2.1700825,2.1972695,2.214274,2.23673625,2.250339,2.240472,2.33908575,2.421912,2.4829767499999997,2.523204,2.5505074999999997,2.5914267499999997,2.6581205,2.7432317499999996,2.8428305,2.9477465,3.0002105,3.1966367499999997,3.34482225,3.451886,3.51712375
S17,453467.62998,2887661.67997,585.05,833,7.7999999999999545,856.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.2931095,1.8591345,1.50931625,1.2192655000000001,1.0486395,1.04114075,1.1514905,1.30950275,1.5285062500000002,1.77087,1.96296525,2.1148585,2.2373000000000003,2.34169875,2.45875625,2.5875285000000003,2.7094222500000003,2.8327020000000003,2.9551055,3.0153035,3.25261975,3.41539825,3.5347269999999997,3.60933075
S18,453508.58498,2887634.01997,588.05,882,10.799999999999955,896.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.30003525,1.990088,1.719873,1.47616075,1.29468725,1.219927,1.2510297499999998,1.2890905,1.5977605,1.82270675,2.00782975,2.153556,2.26844375,2.3194855,2.507226,2.6241355,2.7475915,2.8789147500000003,3.0110342500000002,3.0761155000000002,3.1504940714285716,3.2341699642857145,3.3271431785714287,3.420116392857143
S19,453549.53498,2887606.35497,586.9,931,9.649999999999977,959.5,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.7949994999999999,1.809482,1.7735655000000001,1.722548,1.6870895,1.69125875,1.73740825,1.8139382499999999,1.9509685,2.12021425,2.25268325,2.34930825,2.4180585,2.446486,2.584169,2.6702015,2.78414175,2.91638525,3.053198,3.184056,3.344405,3.51859025,3.65195825,3.741105
S20,453590.48998,2887578.68997,591.15,980,13.899999999999977,999.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.75763925,2.0501885,2.26827225,2.432401,2.5528584999999997,2.6412282499999997,2.7069715,2.735086,2.8762465,2.8789179999999996,2.8515495,2.8072179999999998,2.7523155,2.722257,2.6828997500000002,2.733387,2.8478295,2.99599575,3.1528345,3.301005,3.46762375,3.647853,3.8011927500000002,3.9202760000000003
S21,453631.44498,2887551.02497,599.15,1029,21.899999999999977,1062.5,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.807683,2.1053515000000003,2.358746,2.5650035,2.720438,2.83069175,2.90434875,2.94663875,2.9632122499999998,2.9474427499999996,2.8986975,2.83484675,2.76408975,2.7271235,2.677835166666666,2.628546833333332,2.5669364166666653,2.4930039166666647,2.419071416666664,2.3328168333333297,2.2342401666666625,2.1233414166666615,2.0001205833333273,1.8768997499999927
