Stations,Easting_X_m,Northing_Y_m,Elev_H_m,x_m,Norm_h_m,offsets_m,DOI_max_m,dep_38,dep_76,dep_114,dep_152,dep_190,dep_228,dep_266,dep_304,dep_342,dep_380,dep_418,dep_456,dep_494,dep_532,dep_570,dep_608,dep_646,dep_684,dep_722,dep_760,dep_798,dep_836,dep_874,dep_912,res_38,res_76,res_114,res_152,res_190,res_228,res_266,res_304,res_342,res_380,res_418,res_456,res_494,res_532,res_570,res_608,res_646,res_684,res_722,res_760,res_798,res_836,res_874,res_912
S00,452344.11998,2887269.33497,652.45,0,60.55000000000007,10.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.1663457499999996,2.5005412500000004,2.82096225,3.10793475,3.351725,3.5525652500000002,3.70989725,3.811931,3.872116,3.88898925,3.8472357500000003,3.76361925,3.643768,3.574422,3.21955475,3.0308942500000002,2.9039782499999998,2.8734395,2.8860585,3.037802,3.2112231428571434,3.4063219285714292,3.623098357142858,3.8398747857142874
S01,452379.57498,2887234.62497,651.8,50,59.89999999999998,60.1,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.30324525,2.4906295,2.66702,2.8135365,2.91814325,2.98267425,3.01486075,3.0239595,2.9278375,2.8877014999999995,2.8549035,2.83273875,2.8224105,2.820666,2.78216275,2.8433405,2.903123,2.9667607499999997,3.03733375,3.12091725,3.2480302500000002,3.40571775,3.55003475,3.66538225
S02,452415.02998,2887199.91997,642.3,100,50.39999999999998,101.1,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.7399575,2.0368375,2.26346375,2.43426575,2.5573112499999997,2.641995,2.6956555,2.7214210000000003,2.7131922499999996,2.6647659999999997,2.5914495,2.521311,2.4883022500000003,2.51451175,2.6137645000000003,2.77195775,2.97219575,3.183433,3.37103725,3.54752875,3.71146725,3.7883205,3.8737130000000004,3.9591055000000006
S03,452450.48498,2887165.21497,624.4,150,32.5,163.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.6392837500000002,1.7166027499999998,1.8198914999999998,1.928333,2.0364169999999997,2.1354919999999997,2.2210445,2.30122025,2.35555,2.36555,2.35497875,2.347971,2.337459375,2.3269477499999995,2.3129322499999994,2.298916749999999,2.281397374999999,2.2603741249999985,2.2393508749999986,2.214823749999998,2.1867927499999977,2.1552578749999975,2.1202191249999967,2.0851803749999966
S04,452485.93998,2887130.50497,610.65,200,18.75,205.1,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.3529572500000002,2.40637975,2.4183485,2.4047025,2.37941475,2.35225775,2.32758225,2.3161189999999996,2.204068,2.23125425,2.2829245,2.354447,2.4467589999999997,2.4993084999999997,2.74058925,2.91323575,3.033657,3.1120055,3.1633015,3.2075965,3.2779620000000005,3.37703725,3.47453175,3.5489375
S05,452521.39498,2887095.79997,606.65,250,14.75,266.6,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.63158475,2.191808,1.9637372499999999,1.8700865000000002,1.86222975,1.8893954999999998,1.923057,1.9396605,1.97838775,2.0608305,2.171349,2.2997635,2.4437207499999998,2.520525,2.8757282500000003,3.05718375,3.169982,3.2281477499999998,3.2523239999999998,3.259117,3.33527325,3.3741097499999997,3.43089825,3.47821175
S06,452556.84998,2887061.09497,599.1,300,7.2000000000000455,307.6,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.7244295000000003,2.4761267499999997,2.2900454999999997,2.13381475,2.0144420000000003,1.9465050000000002,1.9326065000000001,1.9386695,2.1722175,2.3858289999999998,2.59569225,2.78794975,2.9596620000000002,3.0403979999999997,3.4099715,3.4974105,3.5230122500000003,3.4973175,3.445422,3.4169505,3.3844116428571427,3.3478054285714283,3.3071318571428563,3.2664582857142848
S07,452592.30498,2887026.38497,597.75,350,5.850000000000023,352.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.4308657499999997,2.3935515,2.351653,2.330754,2.3468135,2.4020064999999997,2.48633175,2.58961925,2.7510362500000003,2.952636,3.1307575,3.2840747500000003,3.40710725,3.4594300000000002,3.6927875,3.706237,3.67705575,3.6072879999999996,3.51987725,3.4391459999999996,3.3854499999999996,3.378175,3.40588025,3.4358932500000003
S08,452627.75998,2886991.67997,602.4,400,10.5,393.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.316539,2.560121,2.7880955,2.98474,3.1445862499999997,3.27236325,3.37734725,3.425275,3.63115125,3.73354,3.8091315000000003,3.8711525,3.90351375,3.886259,3.85478475,3.8235284999999997,3.76269025,3.66822075,3.5621409999999996,3.5102275,3.4508977857142864,3.3841518571428586,3.309989714285716,3.2358275714285742
S09,452663.21498,2886956.97497,597.35,450,5.4500000000000455,455.2,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.32291525,2.4908665,2.68218875,2.8698472500000003,3.03668475,3.17714775,3.29306875,3.38676575,3.4933492499999996,3.6080122500000003,3.6986255,3.7763252499999997,3.82686875,3.8313995,3.82133325,3.8061575000000003,3.7546505,3.6649555,3.56011825,3.4642155,3.3944514999999997,3.3715100000000002,3.387555,3.4101589999999997
