Stations,Easting_X_m,Northing_Y_m,Elev_H_m,x_m,Norm_h_m,offsets_m,DOI_max_m,dep_38,dep_76,dep_114,dep_152,dep_190,dep_228,dep_266,dep_304,dep_342,dep_380,dep_418,dep_456,dep_494,dep_532,dep_570,dep_608,dep_646,dep_684,dep_722,dep_760,dep_798,dep_836,dep_874,dep_912,res_38,res_76,res_114,res_152,res_190,res_228,res_266,res_304,res_342,res_380,res_418,res_456,res_494,res_532,res_570,res_608,res_646,res_684,res_722,res_760,res_798,res_836,res_874,res_912
S00,449995.55998,2880843.74997,430.7,0,30.649999999999977,10.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.2030475000000003,2.3804645,2.5807997499999997,2.7712037499999997,2.9384112499999997,3.0820037499999997,3.20262525,3.29517425,3.3734595,3.43327225,3.45525175,3.4458302499999998,3.4071425,3.3802535000000002,3.217064,3.11844425,3.0325942500000003,2.97918375,2.9637165000000003,3.1043097499999996,3.25195,3.45079625,3.68948725,3.97463825
S01,450036.93998,2880815.98997,431.65,50,31.599999999999966,38.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.404983,2.50732275,2.6174515,2.71951725,2.8038920000000003,2.86916325,2.91834725,2.9394020000000003,2.956422,2.9890435,3.015601,3.0379294999999997,3.0563309999999997,3.0645485,3.0719155000000002,3.1025709999999997,3.1257414999999997,3.1483982499999996,3.17682475,3.2178722499999997,3.3064625000000003,3.446849,3.6054707500000003,3.7567865000000005
S02,450078.31998,2880788.22997,431.7,100,31.649999999999977,105.6,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.5647575000000002,2.6172737500000003,2.6538107500000003,2.67966625,2.697604,2.7132210000000003,2.72944025,2.74666125,2.77902575,2.82739675,2.8767039999999997,2.924228,2.9690339999999997,2.9908155,3.0611904999999995,3.1239325,3.1685162499999997,3.2023075,3.2322287500000004,3.2471095,3.3609925,3.4458710000000004,3.54348775,3.6286055000000004
S03,450119.69998,2880760.46997,431.8,150,31.75,145.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.87203075,2.59187375,2.428613,2.338397,2.3041975000000003,2.3093037499999998,2.34053925,2.3895805,2.47995625,2.60441675,2.72464325,2.83453525,2.9337257500000002,2.980965,3.166348,3.2533625,3.3060555,3.334003,3.3476435,3.3523645,3.357759928571429,3.363829785714286,3.3705740714285715,3.3773183571428573
S04,450161.07998,2880732.70997,432.65,200,32.599999999999966,208.6,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.91888575,2.74224925,2.60885875,2.5099062500000002,2.44898825,2.4275785,2.4400805,2.4537940000000003,2.6166715000000003,2.7549200000000003,2.88851425,3.0087717499999997,3.11318325,3.20094725,3.286137,3.358051,3.3956349999999995,3.40756175,3.40508525,3.3992822499999997,3.41077,3.4515992499999997,3.50806125,3.5578995
S05,450202.45998,2880704.94997,426.65,250,26.599999999999966,248.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.6503695,2.69909275,2.7517025,2.8068815000000003,2.8636310000000003,2.9225155000000003,2.9829317499999997,3.013387,3.20102525,3.300549,3.3848207500000003,3.4559624999999996,3.50750675,3.5324937499999995,3.5485795,3.5599142500000003,3.55208725,3.5264955,3.49284025,3.46074975,3.4453135,3.45920475,3.4927902499999997,3.5251020000000004
S06,450243.83998,2880677.18997,409.8,300,9.75,311.6,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.53753575,2.6652665,2.798339,2.922733,3.0319515,3.1251307500000003,3.20471175,3.2414855,3.315033,3.3885805,3.4621280000000003,3.5356755000000004,3.6459967500000006,3.7563180000000007,3.903413000000001,4.050508000000001,4.234376750000001,4.455019250000001,4.6756617500000015,4.933078000000002,5.227268000000002,5.558231750000003,5.925969250000003,6.293706750000004
S07,450285.21998,2880649.42497,400.75,350,0.6999999999999886,351.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.32139725,2.4251135,2.5585835,2.69860975,2.832135,2.95203975,3.0551442499999997,3.1022625,3.187298,3.2532680000000003,3.2828695,3.28703,3.2717805,3.2597060000000004,3.1602147499999997,3.10950325,3.0667429999999998,3.04285275,3.04158475,3.1043097499999996,3.25195,3.45079625,3.68948725,3.97463825
S08,450326.59998,2880621.65997,400.05,400,0.0,391.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.5710745,2.65982675,2.761331,2.8621902500000003,2.95492375,3.037349,3.10996425,3.17314075,3.25334975,3.3463404999999997,3.42363325,3.489291,3.53613125,3.5559255,3.5681457500000002,3.5778037499999997,3.56860775,3.5411230000000002,3.50535175,3.4712882499999997,3.453097,3.462846,3.4915814999999997,3.5195952499999996
S09,450367.97998,2880593.89997,400.35,450,0.30000000000001137,437.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.7721545,2.7174747499999996,2.658931,2.6112562500000003,2.5855057500000003,2.5874605,2.614014,2.6591707500000004,2.7515045000000002,2.88416275,3.01282325,3.12972725,3.2294952500000003,3.2742405,3.308041,3.3889097500000003,3.4310885,3.4433635,3.4387465,3.4296205000000004,3.4341485,3.46259375,3.50337625,3.5386075
