Stations,Easting_X_m,Northing_Y_m,Elev_H_m,x_m,Norm_h_m,offsets_m,DOI_max_m,dep_38,dep_76,dep_114,dep_152,dep_190,dep_228,dep_266,dep_304,dep_342,dep_380,dep_418,dep_456,dep_494,dep_532,dep_570,dep_608,dep_646,dep_684,dep_722,dep_760,dep_798,dep_836,dep_874,dep_912,res_38,res_76,res_114,res_152,res_190,res_228,res_266,res_304,res_342,res_380,res_418,res_456,res_494,res_532,res_570,res_608,res_646,res_684,res_722,res_760,res_798,res_836,res_874,res_912
S00,449942.58999,2882422.03496,464.75,0,35.0,11.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.104966,2.27417575,2.4790535,2.6793755,2.855011,3.001376,3.1169615,3.1952339999999997,3.246518,3.267599,3.245721,3.1927442500000005,3.115912,3.0719364999999996,2.8998925,2.8151015,2.7870127499999997,2.82469175,2.8599785,3.04014,3.246038857142857,3.4776750714285716,3.7350486428571434,3.992422214285715
S01,449989.64499,2882405.19996,453.85,50,24.100000000000023,61.4,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.35561925,2.4040795,2.4928185,2.58523225,2.66412575,2.7225155,2.76072025,2.775107,2.7485962500000003,2.735484,2.7211445,2.7116115,2.7103107499999997,2.71953175,2.74915975,2.80047525,2.86603525,2.9455347499999998,3.035151,3.133217,3.2723400000000002,3.44152125,3.59702225,3.72551275
S02,450036.69499,2882388.36496,450.3,100,20.55000000000001,114.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.67153525,2.6388405,2.61454475,2.5821697500000003,2.5406105,2.4999055,2.4658195,2.439066,2.4229395,2.42552675,2.448395,2.4862665,2.5391630000000003,2.5700095000000003,2.71886225,2.85157625,2.966635,3.066372,3.150862,3.2227965000000003,3.3185115,3.441367,3.55885475,3.6506114999999997
S03,450083.74999,2882371.53496,450.15,150,20.399999999999977,177.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.8751870000000004,2.6341729999999997,2.448476,2.30030425,2.1895235,2.11578425,2.07533925,2.064006,2.0931757500000003,2.16530225,2.2613855000000003,2.3705800000000004,2.5051065,2.64744,2.790614,2.9334192500000005,3.05713425,3.15882925,3.2358995,3.3026065000000004,3.37593325,3.4170275,3.462687777777778,3.5083480555555555
S04,450130.80499,2882354.70496,449.1,200,19.350000000000023,231.2,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.9310132500000003,2.7681725000000004,2.606693,2.4410075,2.28522325,2.1633455,2.09006225,2.06865775,2.116846,2.2272965,2.3581515000000004,2.42463,2.73405525,2.91312175,3.0683327499999997,3.1755037500000003,3.23140425,3.2747097500000004,3.3313855,3.3820275000000004,3.4337477499999998,3.49325375,3.5668367500000002,3.63493025
S05,450177.85999,2882337.87496,443.9,250,14.149999999999977,266.4,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.574729,2.5406144999999998,2.52821225,2.5269647500000003,2.5349285,2.55328175,2.58026775,2.5955114999999997,2.7906144999999998,2.885913,2.9881640000000003,3.039634,3.295107,3.382034,3.44328675,3.4747784999999998,3.4830437499999998,3.4727075,3.45385775,3.456067,3.4918699999999996,3.54582625,3.60988225,3.66406175
S06,450224.91499,2882321.04496,438.6,300,8.850000000000023,320.5,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.5373905,2.60209025,2.69937875,2.8043424999999997,2.90287475,2.992431,3.07758825,3.167194,3.2626109999999997,3.3451475,3.40177025,3.4300342500000003,3.4588642500000004,3.48162,3.5511395,3.55893775,3.55124925,3.5288032499999997,3.50506675,3.495094,3.5356007500000004,3.59595575,3.66699625,3.7275650000000002
S07,450271.96499,2882304.21496,437.15,350,7.399999999999977,355.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.571911,2.56271425,2.60791475,2.6780317499999997,2.759657,2.8436597500000005,2.9253922500000002,2.9653635,3.01826725,3.1365550000000004,3.24025175,3.3312045,3.40172725,3.429601,3.387914,3.4478655,3.482444,3.496696,3.50309075,3.506526,3.510452,3.5148687499999998,3.5197762499999996,3.5246837499999994
S08,450319.01999,2882287.38496,442.6,400,12.850000000000023,409.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.7963672500000003,2.6925112500000004,2.60900425,2.538099,2.48401075,2.4548795,2.45192725,2.4567145,2.4535632499999998,2.566522,2.69451375,2.8247937499999995,2.95041325,3.06348825,3.18047325,3.28767,3.3642432500000004,3.420732,3.4615927500000003,3.5008877500000004,3.55884625,3.64273775,3.73882225,3.8285855
S09,450366.07499,2882270.55496,447.35,450,17.600000000000023,468.4,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.9745355000000004,2.8007847499999996,2.6728264999999998,2.5685355,2.477347,2.3959295,2.325025,2.26883425,2.23505875,2.24384175,2.2970372500000003,2.3655855,2.473878,2.6299217500000003,2.8022737500000003,2.8926985,3.005729437499999,3.1413665624999982,3.2770036874999975,3.435246999999997,3.616096499999996,3.819552187499995,4.045614062499993,4.271675937499992
