Stations,Easting_X_m,Northing_Y_m,Elev_H_m,x_m,Norm_h_m,offsets_m,DOI_max_m,dep_38,dep_76,dep_114,dep_152,dep_190,dep_228,dep_266,dep_304,dep_342,dep_380,dep_418,dep_456,dep_494,dep_532,dep_570,dep_608,dep_646,dep_684,dep_722,dep_760,dep_798,dep_836,dep_874,dep_912,res_38,res_76,res_114,res_152,res_190,res_228,res_266,res_304,res_342,res_380,res_418,res_456,res_494,res_532,res_570,res_608,res_646,res_684,res_722,res_760,res_798,res_836,res_874,res_912
S10,449031.34998,2881183.44497,503.4,500,102.34999999999997,500.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.11396275,1.8075895000000002,1.65610825,1.67026425,1.8224022500000001,2.0308272499999998,2.24409375,2.44914,2.6913609999999997,2.946259,3.14822825,3.3045057499999997,3.4187665,3.465528,3.558568,3.4583635,3.2189984999999997,2.8595527499999998,2.53717075,2.4168995,2.2794466428571427,2.1248121785714282,1.952996107142857,1.7811800357142853
S11,449074.67498,2881155.97996,502.8,550,101.75,541.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,4.192438,4.01081675,3.82240825,3.65369475,3.5080720000000003,3.3970525,3.32348375,3.2816892500000003,3.29878525,3.3804202500000002,3.48283625,3.5796324999999998,3.65388,3.695087,3.6810185,3.5711589999999998,3.3316072500000002,2.962111,2.59037725,2.4529294999999998,2.659131,2.99097175,3.2245865,3.353213
S12,449116.16498,2881128.96497,499.25,600,98.19999999999999,603.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,4.27031425,4.16487625,4.0669664999999995,3.96622925,3.86209075,3.75951475,3.6683075,3.5955242499999995,3.5678127500000003,3.60479425,3.6795965,3.75886375,3.81713825,3.8391255,3.80517875,3.678613,3.432387,3.055641,2.6452240000000002,2.4565095,2.5943812499999996,2.91249875,3.14708875,3.2764110000000004
S13,449153.51997,2881097.15997,493.8,650,92.75,644.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,4.2010647500000005,3.9194189999999995,3.6498825000000004,3.4102662500000003,3.2300015,3.12286375,3.0897465,3.12188675,3.264923,3.4927955,3.70389225,3.8698705,3.97533575,4.01345475,3.97296025,3.83091225,3.57466075,3.1889937500000003,2.7358450000000003,2.5105380000000004,2.559936,2.8660419999999998,3.0983664999999996,3.2259405
S14,449194.89997,2881061.80997,491.65,700,90.59999999999997,706.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,4.44886225,3.7779085,3.3146837500000004,3.00564725,2.8529415,2.839145,2.922948,2.9834009999999997,3.1043069999999995,3.225212999999999,3.346118999999999,3.4670249999999987,3.6483839999999983,3.829742999999998,4.071554999999997,4.313366999999997,4.615631999999996,4.978349999999995,5.341067999999995,5.764238999999994,6.247862999999993,6.791939999999991,7.39646999999999,8.000999999999989
S15,449241.09999,2881038.21996,498.75,750,97.69999999999999,747.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.5070002500000004,2.5898442499999996,2.60345625,2.59715825,2.583634,2.5751445,2.5747405,2.576457,2.47406325,2.53720525,2.5902564999999997,2.63329425,2.6746035000000004,2.696844,2.78000925,2.84493025,2.9032160000000005,2.9792870000000002,3.08400725,3.214454,3.41968225,3.6654395,3.8558304999999997,3.9794637500000003
S16,449282.10498,2881015.60997,503.45,800,102.39999999999998,809.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.6460392500000003,2.972039,3.2111102499999995,3.39957275,3.539304,3.64414875,3.72786625,3.7657525,3.80193375,3.93792175,4.042545499999999,4.11831975,4.1544282500000005,4.1602630000000005,4.0122855,3.82917475,3.54817125,3.15168225,2.700363,2.4790365,2.2260919285714285,1.9415292857142856,1.6253485714285714,1.309167857142857
S17,449320.01998,2880985.63497,498.55,850,97.5,850.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.81489875,1.95848375,2.0902517499999997,2.2576145,2.48222325,2.733147,2.9764165,3.0931295,3.340393,3.62340075,3.824772,3.96285175,4.04009,4.062358,3.915318,3.7385847500000002,3.4577540000000004,3.0610600000000003,2.6312955000000002,2.411762,2.56265625,2.8698125,3.08913,3.2073025
S18,449357.43497,2880951.21997,492.85,900,91.80000000000001,912.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.60742825,1.51179975,1.57488275,1.7600617500000002,2.01865025,2.29004525,2.5415497499999997,2.6601315,2.9960692499999997,3.248823,3.44533075,3.59882625,3.7008815,3.735875,3.5998065,3.44397225,3.15980975,2.7774697500000003,2.44945025,2.3762105,2.60650725,2.9230412500000003,3.1337265,3.24560025
S19,449395.61998,2880915.42996,488.15,950,87.09999999999997,953.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.2624977500000005,2.103709,2.0014957499999997,1.9829865,2.05720825,2.19851325,2.36642325,2.53189375,2.74731375,2.9918605,3.1896307499999996,3.352034,3.4699354999999996,3.5146195000000002,3.390568,3.24331825,2.95558025,2.6003920000000003,2.3595027500000003,2.2969815000000002,2.6993735,3.0139085000000003,3.2135350000000003,3.3191245
S20,449439.51498,2880891.10497,481.75,1000,80.69999999999999,993.0,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.42141625,1.5960745,1.6553835000000001,1.63680125,1.582413,1.5568072499999999,1.59189875,1.68346175,1.884239,2.1627852499999998,2.4218764999999998,2.6563755,2.8546544999999997,2.9419839999999997,2.88954375,2.752485,2.49759925,2.295976,2.2917977499999997,2.3477405,2.4116750714285717,2.483601464285715,2.5635196785714296,2.6434378928571443
S21,449486.79499,2880876.15996,477.75,1050,76.69999999999999,1062.6,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.3701067500000002,0.9535752249999999,0.9253951,1.057503875,1.1872569999999998,1.2869315,1.3739405,1.46617175,1.6177315,1.8403735,2.0890044999999997,2.3407525,2.5678855,2.6712925,2.64458075,2.50529575,2.3099655,2.2307437500000002,2.3373,2.55253325,2.8497822500000005,3.1452055000000003,3.3321795,3.4330450000000003
S22,449527.98997,2880849.33497,473.5,1100,72.44999999999999,1102.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,-0.3943509175,0.4832065575,1.04662495,1.41108375,1.61464425,1.70374775,1.7260594999999999,1.7256605,1.7603765,1.8092057499999998,1.950926,2.1487865,2.33614475,2.4473265,2.42770325,2.30124125,2.20036425,2.24592475,2.4296915,2.544213,3.0505549999999997,3.317374,3.493039,3.59222825
S23,449568.20498,2880816.32996,479.0,1150,77.94999999999999,1142.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,0.910712475,1.25172825,1.47545775,1.6379245,1.7618472500000002,1.8586265,1.92626975,1.9521025,2.0037680000000004,2.055433500000001,2.107099000000001,2.1587645000000015,2.236262750000002,2.3137610000000026,2.4170920000000033,2.520423000000004,2.649586750000005,2.804583250000006,2.959579750000007,3.1404090000000084,3.34707100000001,3.5795657500000115,3.8378932500000134,4.096220750000015
S24,449615.35498,2880796.65997,494.55,1200,93.5,1209.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.7958522499999998,1.4065245,1.24760225,1.3080002499999999,1.48552475,1.676745,1.8477915,1.9987465000000002,2.1616714999999997,2.32249675,2.4459605000000004,2.54270775,2.6270125,2.6686385,2.86107925,2.9289199999999997,2.9811915,3.0445505,3.1335420000000003,3.1850935,3.452732,3.6611547499999997,3.821469,3.920723
S25,449658.52998,2880772.56497,504.8,1250,103.75,1249.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,0.7852078250000001,0.5759236,0.99979445,1.4171779999999998,1.7319969999999998,1.94995825,2.0806085000000003,2.13425375,2.0858415,1.97644375,1.91352075,1.91792125,1.9482632500000001,1.963142,2.02768375,2.2038865,2.41271125,2.6434775,2.8666229999999997,3.0631692499999996,3.290669,3.5294045,3.69900875,3.802135
S26,449699.01497,2880739.17497,505.0,1300,103.94999999999999,1312.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.1246784,1.412429,1.69136775,1.80687525,1.7893080000000001,1.702212,1.580298,1.43929375,1.28032225,1.2056365,1.297419,1.481852,1.6985975,1.812012,2.2895897499999998,2.5623645,2.80403,3.02128225,3.2108655,3.3712745,3.5603154999999997,3.77510525,3.9487205000000003,4.0697107500000005
S27,449737.19498,2880705.50997,497.45,1350,96.39999999999998,1352.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.64484525,1.65626875,1.597184,1.4891625,1.3828052499999999,1.3278652499999999,1.33635075,1.35535,1.706384,1.880359,2.0559422499999997,2.22388225,2.377677,2.4500265,2.839696,3.05014275,3.2577127500000005,3.4462095,3.60125725,3.708872,3.8408865,4.038160749999999,4.23297925,4.402675
S28,449776.96998,2880678.10497,495.8,1400,94.75,1415.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.53963625,1.44821325,1.470706,1.577034,1.727907,1.8852495,2.03101375,2.0999290000000004,2.37882125,2.5532227499999998,2.694514,2.82059025,2.92834925,3.000475,3.1056445000000004,3.28493675,3.49137225,3.683,3.83654575,3.9641357499999996,4.088236,4.153894,4.226847333333334,4.299800666666667
S29,449823.46998,2880654.52496,496.8,1450,95.75,1455.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.8947219999999998,1.8083455,1.79835975,1.8696125000000001,2.0095025,2.1897910000000005,2.3855822499999997,2.58298325,2.7753675,2.95017025,3.0952755,3.202733,3.3060867499999995,3.4169347500000002,3.5091205,3.57445625,3.597921,3.6260787,3.6542364,3.68708705,3.72463065,3.7668672,3.8137967,3.8607262
S30,449868.92998,2880628.71997,485.4,1500,84.34999999999997,1501.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.1501745,2.03136125,1.9140495,1.833104,1.82808525,1.9007745,2.0172935,2.0816335,2.40468325,2.59414625,2.73779225,2.84636975,2.9299172500000004,2.9963177500000002,3.0474152500000002,3.0775195,3.09523,3.12729425,3.19089875,3.2855145,3.452732,3.6611547499999997,3.821469,3.920723
