Stations,Easting_X_m,Northing_Y_m,Elev_H_m,x_m,Norm_h_m,offsets_m,DOI_max_m,dep_38,dep_76,dep_114,dep_152,dep_190,dep_228,dep_266,dep_304,dep_342,dep_380,dep_418,dep_456,dep_494,dep_532,dep_570,dep_608,dep_646,dep_684,dep_722,dep_760,dep_798,dep_836,dep_874,dep_912,res_38,res_76,res_114,res_152,res_190,res_228,res_266,res_304,res_342,res_380,res_418,res_456,res_494,res_532,res_570,res_608,res_646,res_684,res_722,res_760,res_798,res_836,res_874,res_912
S00,452969.68002,2887531.15498,582.1,0,8.800000000000068,11.1,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.14296925,2.349342,2.5827807500000004,2.8065207500000002,3.002267,3.16515925,3.2922015,3.37324725,3.41513975,3.41489775,3.364051,3.2799357500000004,3.1750804999999995,3.1185995,2.9212515000000003,2.8369934999999997,2.8319852500000002,2.9063105,2.961075,3.218564,3.4393175,3.680885,3.92035075,4.1711350000000005
S01,452991.50502,2887576.11998,577.6,50,4.300000000000068,54.1,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.4118767500000002,2.51817475,2.64016825,2.74420625,2.8141610000000004,2.85097875,2.8631390000000003,2.8642185,2.77446825,2.7434185,2.71945825,2.7045312499999996,2.7031220000000005,2.7181802499999996,2.76162375,2.83383925,2.9221880000000002,3.02482025,3.137449,3.25909325,3.4325349999999997,3.643754,3.8348355,3.9908935
S02,453013.33502,2887621.07998,576.7,100,3.400000000000091,121.5,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.5888795,2.60760125,2.618414,2.61823725,2.60692425,2.59125725,2.57569825,2.5682644999999997,2.4640925,2.475148,2.495796,2.5252482499999998,2.5689685,2.6305492499999996,2.7279825,2.84981625,2.9653815000000003,3.075972,3.1829340000000004,3.2357515,3.4680905,3.6380577499999998,3.78989725,3.90225625
S03,453035.16002,2887666.04498,582.4,150,9.100000000000023,160.7,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.9034435,2.666719,2.4979095,2.3612854999999997,2.2446794999999997,2.1482669999999997,2.0776067499999997,2.0376112500000003,2.05297725,2.135147,2.2552825,2.38748725,2.5261204999999998,2.6692199999999997,2.83890875,3.0105009999999996,3.1380369999999997,3.2335682500000003,3.3108315000000004,3.3467719999999996,3.387846857142856,3.4340560714285693,3.4853996428571397,3.53674321428571
S04,453056.98502,2887711.00998,584.6,200,11.300000000000068,228.3,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.9233857500000004,2.7754999999999996,2.6286875,2.478548,2.331255,2.205074,2.1157505,2.0716134999999998,2.1059857499999994,2.22528425,2.3815675,2.54182875,2.69732275,2.84468425,3.0064367499999998,3.1608497499999997,3.2657882500000004,3.3356855000000003,3.388021,3.43866725,3.52995625,3.6630804999999995,3.79047725,3.88512025
S05,453078.81502,2887755.96998,580.1,250,6.800000000000068,271.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.60580575,2.5921132499999997,2.587481,2.58764125,2.594824,2.61467825,2.648489,2.6687825,2.91309425,3.0327942500000002,3.1492609999999996,3.2569095,3.34434425,3.4008322499999997,3.45296,3.50305275,3.525786,3.528524,3.52833975,3.538619,3.595561,3.70718625,3.830459,3.9293375
S06,453100.64502,2887800.93498,574.15,300,0.8500000000000227,323.6,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.46322575,2.5476805000000002,2.667854,2.7892725,2.8976170000000003,2.9898065,3.06914525,3.106166,3.27654825,3.38101625,3.4671262499999997,3.5408865000000005,3.5883110000000005,3.59530925,3.59602225,3.60357125,3.5971765,3.5809539999999997,3.569609,3.5673744999999997,3.6405607499999997,3.7538595000000003,3.90217325,4.03596775
S07,453122.47002,2887845.89998,575.15,350,1.8500000000000227,367.4,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.60348325,2.6229709999999997,2.6735875,2.7301532500000003,2.7820005,2.82984775,2.87734775,2.9014094999999998,2.88502625,2.99323575,3.0960010000000002,3.1901037500000005,3.2858585,3.3910675,3.47044775,3.4954140000000002,3.50801325,3.5318182499999997,3.55801625,3.5959565,3.6190420000000003,3.645013187500001,3.6738700625000016,3.7027269375000023
S08,453144.29502,2887890.85998,573.3,400,0.0,434.8,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.76904375,2.63283975,2.49684725,2.38339225,2.3112455,2.28372375,2.29540175,2.34780375,2.4439555,2.5664879999999997,2.6886605,2.7471319999999997,2.80220125,2.97532475,3.1319410000000003,3.2722805000000004,3.3659039999999996,3.4351719999999997,3.51114575,3.58167875,3.6615075000000004,3.7985375,3.99625425,4.220168749999999
S09,453166.12502,2887935.82498,574.1,450,0.8000000000000682,474.2,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,3.129975,2.91934975,2.749477,2.61111875,2.49626025,2.399922,2.32104075,2.2592879999999997,2.22945525,2.2511727500000003,2.31898775,2.41465475,2.56316825,2.7492402499999997,2.9361022500000002,3.1165985000000003,3.2003415,3.3008330999999997,3.401324699999999,3.5185648999999986,3.652553699999998,3.8032910999999974,3.9707770999999967,4.138263099999996
