stations,easting_x_m,northing_y_m,elev_h_m,x_m,norm_h_m,offsets_m,doi_max_m,dep_38,rho_38
S38,450195.14498000004,2880403.29497,401.4,1900,0.3499999999999659,1913.9,-912,-38.0,2.3939485
S39,450230.74498,2880373.58997,404.0,1950,2.9499999999999886,1953.9,-912,-38.0,2.1238055
S40,450269.36998,2880346.3949700003,401.55,2000,0.5,1993.9,-912,-38.0,1.71966275
S41,450312.24998,2880319.05497,401.95,2050,0.8999999999999773,2040.1,-912,-38.0,1.7823142499999998
S42,450352.31998000003,2880290.59497,403.25,2100,2.1999999999999886,2080.1,-912,-38.0,1.24763485
S43,450392.28498,2880263.96997,419.35,2150,18.30000000000001,2147.3,-912,-38.0,2.15548075
S44,450437.61998,2880240.86996,424.35,2200,23.300000000000008,2210.1,-912,-38.0,1.63552375
S45,450481.44498000003,2880213.84997,411.5,2250,10.449999999999989,2250.3,-912,-38.0,2.2201415
S46,450520.08496999997,2880179.39997,423.75,2300,22.699999999999992,2309.1,-912,-38.0,2.2572357500000004
S00,449995.55998,2880843.7499700002,430.7,0,30.649999999999977,10.8,-912,-38.0,2.2030475000000003
S01,450036.93998,2880815.98997,431.65,50,31.599999999999966,38.8,-912,-38.0,2.404983
S02,450078.31998000003,2880788.22997,431.7,100,31.649999999999977,105.6,-912,-38.0,2.5647575
S03,450119.69998000003,2880760.46997,431.8,150,31.75,145.8,-912,-38.0,2.87203075
S04,450161.07998000004,2880732.70997,432.65,200,32.599999999999966,208.6,-912,-38.0,2.91888575
S05,450202.45998000004,2880704.94997,426.65,250,26.599999999999966,248.8,-912,-38.0,2.6503695
S06,450243.83998000005,2880677.18997,409.8,300,9.75,311.6,-912,-38.0,2.53753575
S07,450285.21998,2880649.42497,400.75,350,0.6999999999999886,351.8,-912,-38.0,2.32139725
S08,450326.59998,2880621.65997,400.05,400,0.0,391.8,-912,-38.0,2.5710745
S09,450367.97998,2880593.89997,400.35,450,0.30000000000001137,437.8,-912,-38.0,2.7721544999999996
S10,450409.35998,2880566.13997,403.75,500,3.6999999999999886,478.0,-912,-38.0,3.061651
S11,450450.73498,2880538.37997,409.55,550,9.5,540.8,-912,-38.0,2.7190815
S12,450492.10998,2880510.61997,415.4,600,15.349999999999964,581.0,-912,-38.0,2.2761775
S13,450533.48998,2880482.85997,420.25,650,20.19999999999999,643.8,-912,-38.0,2.00532475
S14,450574.86998,2880455.09997,431.15,700,31.099999999999966,684.0,-912,-38.0,1.87198725
S15,450616.24998,2880427.33997,448.1,750,48.05000000000001,746.8,-912,-38.0,1.454874
S00,449723.73498999997,2882095.4799599997,503.7,0,77.0,10.8,-912,-38.0,2.0580849999999997
S01,449770.08498999994,2882078.87996,503.0,49,76.30000000000003,50.8,-912,-38.0,2.748812
S02,449816.43499,2882062.27996,491.95,98,65.25,87.5,-912,-38.0,2.82014825
S03,449862.78498999996,2882045.67496,483.65,147,56.94999999999999,139.7,-912,-38.0,2.84694825
S04,449909.13998999994,2882029.06996,477.7,196,51.0,176.4,-912,-38.0,2.59996125
S05,449955.49499,2882012.46996,470.85,245,44.15000000000003,228.6,-912,-38.0,2.42974625
S06,450001.84498999995,2881995.86496,469.8,294,43.100000000000016,265.3,-912,-38.0,2.51044275
S07,450048.19499,2881979.25996,468.65,343,41.94999999999999,343.2,-912,-38.0,2.7775375
S08,450094.54498999997,2881962.65996,463.55,392,36.85000000000002,380.1,-912,-38.0,3.04646475
S09,450140.89998999995,2881946.0599599998,454.7,441,28.0,432.3,-912,-38.0,2.1575377500000004
S10,450187.25499,2881929.45496,448.7,490,22.0,494.9,-912,-38.0,2.758854
S11,450233.60498999996,2881912.84996,445.6,539,18.900000000000034,532.0,-912,-38.0,2.12624775
S12,450279.95498999994,2881896.2499599997,440.45,588,13.75,584.2,-912,-38.0,1.9756509999999998
S13,450326.30499,2881879.64996,435.7,637,9.0,620.9,-912,-38.0,1.77578475
S14,450372.65998999996,2881863.0449599996,431.75,686,5.050000000000012,673.1,-912,-38.0,1.7791565000000005
S15,450419.01498999994,2881846.4399599996,429.5,735,2.800000000000012,709.8,-912,-38.0,2.21390825
S16,450465.36499,2881829.83996,426.7,784,0.0,762.0,-912,-38.0,2.3188180000000003
S00,449073.95498999994,2882552.57496,483.4,0,52.29999999999996,10.8,-912,-38.0,2.3754965
S01,449121.18499,2882535.87996,481.4,50,50.29999999999996,50.8,-912,-38.0,2.2691865
S02,449168.40998999996,2882519.1849599998,481.2,100,50.09999999999997,113.4,-912,-38.0,1.9116575
S03,449215.63498999993,2882502.49496,481.45,150,50.34999999999997,149.8,-912,-38.0,2.17875175
S04,449262.85998999997,2882485.80496,481.05,200,49.94999999999999,205.8,-912,-38.0,2.0778345000000003
S05,449310.08498999994,2882469.10996,478.95,250,47.84999999999997,264.4,-912,-38.0,3.1272015
S06,449357.31499,2882452.4149599997,476.9,300,45.79999999999996,320.8,-912,-38.0,1.607254175
S07,449404.53998999996,2882435.72496,475.6,350,44.5,356.8,-912,-38.0,1.3088193
S08,449451.76498999994,2882419.03496,475.0,400,43.899999999999984,408.8,-912,-38.0,1.458815
S09,449498.99499,2882402.33996,472.75,450,41.64999999999998,444.8,-912,-38.0,2.1420975
S10,449546.21998999995,2882385.6449599997,468.6,500,37.5,496.8,-912,-38.0,2.89258925
S11,449593.44499,2882368.95496,465.85,550,34.75,559.6,-912,-38.0,2.97027525
S12,449640.67498999997,2882352.26496,464.05,600,32.94999999999999,611.8,-912,-38.0,2.2286845
S13,449687.89998999995,2882335.56996,463.8,650,32.69999999999999,647.8,-912,-38.0,1.5829139
