station,n_freq,freq_min_hz,freq_max_hz,depth_min_m,depth_max_m,mean_resolution_m,median_resolution_m
26-001A,53,1.008,10400.0,19.5957274604008,27959.005214033343,267.7101549149167,47.2201904050074
26-013U,53,1.008,10400.0,36.240984818104316,29916.425763646617,574.6189380543944,61.3304229629037
26-025U,53,1.008,10400.0,70.5923460826314,29962.193151964464,574.8384770361891,42.47396076393386
