layer,depth_top_m,log10_resistivity,resistivity
1,0.0,5.6516846838487895,448419.7000584762
2,5.0,5.332378844652402,214970.48914399333
3,11.004162818811771,4.499932488621087,31617.861201154064
4,18.214157049772112,2.053915655679844,113.21804611444311
5,26.872152906848005,2.6084591278350664,405.9374580148425
6,37.268956268944294,3.7616821696182865,5776.7313327857455
7,49.753776305183436,4.259085176369528,18158.717672247607
8,64.74595475741211,4.439236084824832,27493.883292824135
9,82.74905084458457,4.360589737350613,22939.805818378216
10,104.3677548746039,3.952335625831887,8960.569771799435
11,130.32819866019156,2.8596162014501108,723.7960379395174
12,161.50234492764724,2.376487224040124,237.95083001827368
13,198.9372749130987,3.60262248606242,4005.1841244553266
14,243.89035786179258,3.942271167010326,8755.302726678357
15,297.87148370809444,3.8649270316948394,7327.014174317211
16,362.6937774528874,3.31320273465552,2056.8505381163436
17,440.5344986394035,1.789769179083269,61.62673780602415
18,534.0081714269184,3.0896556158028003,1229.2935864630713
19,646.2544015646331,3.4938150186135015,3117.561421540092
20,781.0433298735643,3.4776050415825144,3003.3437433088425
21,942.9022642215584,3.062787843203472,1155.5476087931838
22,1137.2677433225028,2.1826991329731933,152.29972984653782
23,1370.6681398981882,1.9894571008855655,97.60163678829048
24,1650.9429365013184,2.284642723227033,192.593986728173
25,1987.5060390642277,3.061829217471973,1152.9997615314103
26,2391.6619723826584,3.3998470345373613,2511.001860722388
27,2876.9855779491963,3.2704580862617685,1864.0522699819523
28,3459.777967476052,2.3728323190345324,235.95670291821483
29,4159.614046732774,4.142858558313728,13895.000230370619
30,5000.0,5.999999999997936,999999.9999952472
