iteration,rms,roughness,multiplier,step_scale,rank,condition_number,n_active_bounds,active_lower,active_upper,solver,solve_attempts,damping,initial_condition_number
0,30.799123745474862,0.0,5.0,0.0,0,,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",initial,0,0.0,
1,12.26036906897889,0.13497699691726597,5000.0,1.0,30,13.922293412430596,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,13.922293412430596
2,9.130818122146236,0.31790622837417504,1581.1388300841897,1.0,30,10.632803193438992,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,10.632803193438992
3,8.719193184271239,0.7175873134735631,500.00000000000006,1.0,30,15.439604003309103,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,15.439604003309103
4,8.575074563394118,2.2833378496606063,158.11388300841898,1.0,30,22.246239661012257,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,22.246239661012257
5,8.53990571854326,2.9844292209681336,50.00000000000001,0.5,30,49.88795210651542,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,49.88795210651542
6,8.497285925714928,3.1769242758550096,50.00000000000001,1.0,30,57.466086692274196,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,57.466086692274196
7,8.479950487605878,4.596736856378888,15.8113883008419,0.25,30,96.28416644562134,1,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,96.28416644562134
8,8.461808191755786,6.230022878641897,15.8113883008419,0.5,30,125.82480731192543,1,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,125.82480731192543
9,8.455259192571512,5.394367626072882,15.8113883008419,1.0,30,158.30926107208995,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",scipy_lsq_linear_trf,1,0.0,158.30926107208995
10,8.44004929324695,8.14915012386578,15.8113883008419,1.0,30,142.97605267081332,1,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,142.97605267081332
11,8.435559413348436,9.515310825334032,5.000000000000001,0.25,30,311.7448438691558,1,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,311.7448438691558
12,8.42485607016869,10.960940520079863,5.000000000000001,1.0,30,335.5145527612029,1,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,335.5145527612029
13,8.421939504150481,12.74925102148498,1.58113883008419,0.125,30,585.3794732270796,4,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,585.3794732270796
14,8.42086566489818,15.789970340046327,0.158113883008419,0.0625,30,1491.8450749762787,17,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, False, False, False, True, True, True, True, True, False, False, True, False, False, False, True, False, False, False, False, False, True, True, True, True, True, True]",scipy_lsq_linear_trf,1,0.0,1491.8450749762787
15,8.419387816369541,16.93675990217788,1.58113883008419,1.0,30,671.9254441198104,3,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,671.9254441198104
16,8.41730329066878,19.468807150064258,0.5000000000000001,0.125,30,1121.456511184441,2,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,1121.456511184441
17,8.415416365569278,22.65645670791706,0.5000000000000001,0.25,30,1162.1251948664099,1,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,1162.1251948664099
18,8.412195418941305,22.335988358768038,0.5000000000000001,1.0,30,1194.5187800192693,1,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,1194.5187800192693
19,8.41124608961862,27.56090108326451,0.158113883008419,0.125,30,1827.5454484649042,8,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,1827.5454484649042
20,8.410800236738663,32.19277601348584,0.158113883008419,0.25,30,1884.4938251619708,5,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",scipy_lsq_linear_trf,1,0.0,1884.4938251619708
