layer,depth_top_m,log10_resistivity,resistivity
1,0.0,5.892594170079004,780897.7474478214
2,5.0,5.739040264118016,548327.7988888578
3,11.004162818811771,5.447205980246969,280030.9155079289
4,18.214157049772112,4.798797561517052,62921.28183648204
5,26.872152906848005,2.073144081557868,118.34341067604511
6,37.268956268944294,3.816495162668103,6553.829858957382
7,49.753776305183436,4.6309555074457585,42751.90854788218
8,64.74595475741211,5.0620974340504645,115371.20643116774
9,82.74905084458457,5.248237047784648,177107.53876854968
10,104.3677548746039,5.248300849341717,177133.55928519793
11,130.32819866019156,5.086044144707863,121911.35117926949
12,161.50234492764724,4.523504815853817,33381.42067822331
13,198.9372749130987,2.882467509173522,762.8998142845643
14,243.89035786179258,2.566826673347466,368.83036922588934
15,297.87148370809444,4.109994254692708,12882.325094766313
16,362.6937774528874,4.057255615613948,11409.211095636954
17,440.5344986394035,2.2421287339272826,174.63397276641805
18,534.0081714269184,1.9178750075162685,82.77039114177443
19,646.2544015646331,3.589412065072016,3885.1882360969657
20,781.0433298735643,3.431539649004088,2701.0936939730295
21,942.9022642215584,1.7573254857544078,57.19070968136954
22,1137.2677433225028,2.594118906094329,392.7524529242861
23,1370.6681398981882,2.043683710300484,110.58181410442522
24,1650.9429365013184,1.580754540691323,38.085050929342685
25,1987.5060390642277,3.304580126201019,2016.4159598416832
26,2391.6619723826584,4.138837461581802,13766.94132930979
27,2876.9855779491963,4.713869319007962,51745.11053610296
28,3459.777967476052,5.183563596089222,152603.1843540814
29,4159.614046732774,5.604003446463716,401793.999383456
30,5000.0,5.999999999999999,999999.9999999979
